#{"t_start": 1783316199.098217, "env_id": "None"}
r,l,t
-484.298942,4,3634.680023
-506.047545,1,3634.764863
-495.169784,2,3634.860774
-525.492696,3,3634.984643
-515.353416,3,3635.111595
2945.145635,294,3641.619062
324.707675,182,3645.630944
-686.925518,68,3647.165099
-450.09877,97,3649.333459
2007.492794,78,3651.091538
-12.344641,79,3652.884865
970.650733,300,3659.370382
3517.093784,280,3665.432585
2698.538462,114,3668.012856
-509.057699,62,3669.429287
-503.352611,1,3669.50638
-502.483055,1,3669.58428
-500.00498,3,3669.709789
-502.871758,1,3669.778865
-501.556135,1,3669.859402
-505.665922,3,3669.982866
-505.427139,1,3670.060726
-509.168299,3,3670.193246
3243.641352,224,3675.035166
3211.345589,241,3680.243361
2211.499379,90,3682.243903
1377.510808,300,3688.922201
2479.730934,100,3691.220373
932.291162,300,3697.760564
-126.359505,272,3703.808508
1521.130477,300,3710.390596
-380.94949,82,3712.232967
614.930736,300,3718.774831
-447.083319,37,3719.651292
-500.65006,1,3719.731306
-507.540605,1,3719.811426
-501.127801,1,3719.909593
-510.927334,4,3720.054192
-471.252211,4,3720.214561
-517.944491,2,3720.317303
-505.23321,1,3720.391173
-499.667621,1,3720.479677
-496.671478,3,3720.609105
-526.180731,214,3725.27324
2184.319837,134,3728.284034
2063.405126,125,3731.062946
2569.601104,145,3734.303958
3169.770985,212,3739.077038
2595.077454,130,3741.994586
2548.241958,191,3746.214246
2058.079797,168,3750.009321
2831.675462,155,3753.47117
931.750845,277,3759.567298
2162.940248,78,3761.318817
1609.166574,300,3768.013813
-657.541391,59,3769.327551
1312.387042,300,3776.019865
3048.383192,190,3780.378731
-510.837753,17,3780.831273
-501.175339,1,3780.900095
-503.668951,4,3781.044486
-482.711008,4,3781.203545
-503.370529,2,3781.305092
-526.811732,3,3781.425363
-510.319937,3,3781.549613
-510.499845,3,3781.681229
-539.93588,4,3781.835893
-498.204706,1,3781.921694
-509.429375,1,3781.993193
-526.75675,4,3782.147231
-525.942686,3,3782.274855
-503.852573,1,3782.356913
-483.399153,4,3782.490565
-506.212324,3,3782.600453
-495.098833,3,3782.734293
-511.289184,2,3782.833227
-496.678287,2,3782.920642
-506.483731,1,3783.00058
-551.013111,6,3783.177119
-511.769333,3,3783.297693
-545.738516,5,3783.454153
-503.083782,1,3783.544709
-492.069177,3,3783.664659
-494.028603,4,3783.801692
-524.402208,5,3783.975636
-504.622922,1,3784.053857
-517.184584,1,3784.141687
-498.767233,1,3784.212566
-498.65018,3,3784.337983
2383.836689,231,3789.475377
1906.56562,132,3792.431203
2733.64071,128,3795.35596
-524.066322,136,3798.396924
2839.536927,238,3803.711486
-545.575955,170,3807.528856
2415.185059,151,3810.961142
-298.468857,154,3814.428775
2007.459385,97,3816.617259
3339.995655,264,3822.451014
-480.03222,63,3823.874179
-515.290912,8,3824.104849
2923.82249,196,3828.367773
2276.13995,93,3830.474881
2156.942554,131,3833.406973
