#{"t_start": 1783378746.528352, "env_id": "None"}
r,l,t
2474.725528,290,5685.990566
2173.363466,204,5693.242905
2408.30372,227,5702.1979
2579.293294,178,5707.821068
2748.467914,285,5718.916721
2103.637845,126,5723.482126
2414.56931,184,5730.406472
-644.823953,300,5740.579794
2860.027379,168,5747.20695
2070.95552,122,5751.776835
860.615344,300,5763.286269
290.408324,300,5774.493195
-1655.04551,300,5789.336981
2560.536515,195,5796.567746
1026.665675,300,5808.27252
631.386182,300,5820.736847
2600.750955,140,5827.756831
2191.603218,160,5833.117317
-13.373708,300,5844.786124
-187.405151,300,5855.294559
3005.006917,278,5866.960798
2170.500278,138,5872.057076
-358.656064,300,5883.918391
461.378189,300,5894.320173
3013.320625,244,5903.749821
360.968618,300,5915.377349
2269.1956,112,5919.929884
99.081803,300,5930.156614
528.705723,300,5941.810347
-579.935894,300,5955.06381
2248.892025,88,5957.886639
2024.682108,239,5967.237209
480.446602,300,5977.648381
-704.717622,300,5989.308426
2405.091482,144,5994.380753
2367.230291,229,6003.555599
2293.35836,82,6006.293994
2366.201537,73,6008.876955
2408.406197,134,6013.803337
1276.5819,300,6025.512231
2649.785505,139,6030.520354
-233.822995,300,6042.109813
1000.041715,300,6053.754371
2918.456747,163,6059.121934
1697.150446,174,6066.111015
2390.467334,138,6071.141378
2537.983643,180,6077.9709
3374.056975,240,6087.200328
-19.852944,300,6097.599829
2263.083273,209,6106.34344
2017.481334,260,6115.976533
3193.427311,288,6126.266545
-474.799964,300,6137.717104
2313.318039,87,6140.541618
-167.953594,300,6152.077989
963.129684,300,6163.820337
1987.308008,129,6168.664162
283.756293,300,6178.933238
2178.999038,99,6183.30181
2800.759067,253,6192.815558
2032.174684,185,6199.803458
2392.524523,170,6205.352341
13.372491,300,6217.027494
2435.089962,123,6221.802549
867.682772,300,6233.270543
841.50193,300,6243.742841
281.629457,300,6255.421663
2369.910302,112,6259.896935
119.438141,300,6270.170048
2183.546576,77,6274.104901
1012.872624,300,6284.430479
2702.950889,254,6294.001512
2121.723619,115,6298.926999
576.397207,300,6310.842603
-205.996775,300,6321.120792
1932.388389,143,6328.058934
2219.255383,107,6331.606001
2694.128196,225,6342.149083
2154.219879,81,6345.293729
3291.652939,216,6355.150581
-82.957849,300,6365.766713
2472.673636,78,6368.378025
6.146694,300,6380.028393
-192.731729,300,6391.698129
2036.592128,259,6401.685109
2404.521812,70,6404.198718
2601.307509,131,6409.031794
667.274586,300,6420.472545
1181.601694,300,6430.951017
2530.512363,98,6435.271318
280.713684,300,6446.884648
-711.123368,300,6457.281114
3810.850036,299,6468.829905
-822.199029,300,6480.319272
-100.660053,300,6490.806693
155.214326,300,6502.269598
2254.527196,158,6508.807134
2701.727788,198,6516.11428
230.996351,300,6526.465115
2100.846473,82,6530.469913
1787.901375,300,6540.79361
-224.121846,300,6552.423986
552.825265,300,6564.023314
21.542355,300,6574.43897
244.247476,300,6586.162266
2220.088901,265,6595.801288
-80.64354,300,6607.287703
-36.631898,300,6618.867092
2342.891109,224,6627.13868
294.384882,300,6642.225466
551.093847,300,6654.139376
2396.940662,256,6663.782129
418.475817,300,6675.521014
375.008846,300,6687.045212
2504.576139,202,6694.242487
2349.561693,288,6704.384645
-186.022651,300,6715.898297
-367.443151,300,6727.453766
1044.427711,300,6737.671519
2072.075563,171,6744.488053
325.089542,300,6756.097474
-259.124709,300,6767.470542
128.949351,300,6777.440567
2563.185611,219,6786.408979
-118.822582,300,6796.430022
943.504595,300,6808.019592
1812.881153,168,6814.783685
2358.559813,135,6819.738547
1686.607963,249,6829.137472
-242.255611,300,6839.441493
1726.618989,148,6845.862129
415.794549,300,6856.184047
2390.805332,154,6862.696694
2368.313818,211,6870.174988
197.930828,300,6881.640601
334.167969,300,6891.9874
2179.835748,259,6901.642418
1747.185089,210,6910.351323
2526.348521,285,6920.449684
570.77972,300,6932.283314
655.804279,300,6944.065184
523.714321,300,6954.394364
294.944151,300,6966.114734
1253.168206,300,6977.747987
3026.417777,168,6983.320051
3087.633519,220,6992.337328
-176.18804,300,7002.712213
1839.085686,204,7011.362325
2258.038996,75,7013.959452
376.847856,300,7024.206141
2981.810936,167,7030.946861
2074.011264,67,7033.471535
2167.193254,105,7037.863499
2260.43232,145,7042.968411
183.60208,300,7054.455544
-807.389894,300,7064.772127
2388.691394,146,7071.114089
2389.465597,107,7074.308896
2222.022717,59,7076.620191
2255.575352,268,7088.236993
-726.823292,300,7099.890878
308.458516,300,7111.376242
-201.950254,300,7121.769607
-139.164311,300,7133.328027
-357.253388,300,7144.996215
1901.260382,145,7150.098663
3017.952812,166,7156.898234
1291.131535,300,7167.275017
2473.940184,172,7174.109206
2306.635193,124,7178.854903
2278.997744,98,7183.060993
299.536761,300,7193.385358
3145.293817,188,7200.524793
2004.093561,196,7207.98066
2247.190251,150,7214.796192
2654.955445,283,7225.881509
2578.827821,194,7233.065072
2964.126873,203,7240.533229
2605.436191,244,7249.996687
2042.308573,131,7254.928256
272.895123,300,7266.606579
749.80435,300,7276.887301
2112.233604,80,7280.756405
1994.947927,151,7286.048689
2627.143022,161,7292.67733
2670.32508,138,7297.734957
2190.737135,110,7300.925112
2520.038111,289,7312.205533
-203.481757,300,7323.740757
1923.383764,234,7331.66074
2055.815135,249,7341.058035
512.801038,300,7352.696154
2250.128356,70,7355.26619
2661.400659,225,7364.230753
2282.792315,71,7366.801802
223.599516,300,7377.271249
-699.892621,300,7389.080634
1926.724153,226,7398.052289
-169.560351,300,7408.305019
2095.673182,150,7414.708936
2609.105473,129,7419.617844
2056.244779,122,7423.02211
-128.230842,300,7434.620174
2808.010239,206,7442.116846
2293.303937,223,7451.100513
527.913588,300,7462.692067
149.915922,300,7472.979182
2040.454738,125,7477.745658
2083.935882,70,7480.27749
421.382258,300,7491.869526
1064.652708,300,7503.559789
2291.553638,177,7509.271118
2262.244514,149,7515.64453
-472.402266,300,7526.010093
1952.475865,169,7532.890363
2262.217993,192,7540.032458
695.545641,300,7551.607172
-60.263327,300,7561.793907
2573.608564,181,7568.762025
3501.235562,258,7578.282608
2424.72806,182,7585.250429
2184.591062,168,7592.004977
2516.989605,237,7600.021377
1917.403971,153,7606.474237
2235.806934,186,7613.561927
2999.23935,183,7620.535813
-148.872973,300,7630.949624
2174.776498,134,7635.786676
2262.791139,53,7638.024731
1292.070018,300,7649.69653
2227.710334,288,7659.545592
2073.615804,233,7668.66737
2186.21088,188,7675.758785
-684.218788,300,7687.498771
468.826536,300,7697.713979
-290.653574,300,7709.195983
2427.983558,108,7713.671731
3239.422866,240,7722.944968
2262.547474,149,7728.080161
1866.442485,109,7732.594233
2431.243062,207,7739.959992
2908.912581,279,7749.970874
2069.725832,114,7754.509476
2293.817535,206,7761.963862
2223.304811,300,7773.41032
2609.354031,158,7778.726375
2666.107803,211,7787.746622
2433.024157,140,7792.731618
719.414879,300,7803.160494
1776.005249,195,7811.648386
143.522206,300,7821.914818
2932.306144,282,7833.169313
2176.569938,186,7840.205343
2081.026633,117,7843.575785
3115.034257,216,7852.406692
-613.095109,300,7862.883678
2992.626378,207,7871.626661
1864.460612,157,7876.922891
1006.657382,300,7888.468891
985.313471,300,7898.898248
2152.368261,130,7905.034238
2605.621951,283,7915.169527
2832.283035,282,7925.176312
2405.574634,230,7934.235022
2719.407377,164,7939.617634
2031.165629,129,7945.682086
2364.594784,141,7950.618356
2760.823428,238,7958.685379
1158.073036,300,7970.13702
-440.805464,300,7981.690971
2551.950196,188,7988.874901
2335.526328,74,7991.448734
3466.006533,237,8000.707424
1659.288679,300,8011.09314
2139.224172,68,8013.615398
1905.509808,179,8020.542576
2381.425691,172,8027.330208
2446.385321,120,8031.912591
2979.718618,186,8038.967459
3053.108076,269,8048.782504
3123.737109,288,8058.982072
249.756704,300,8070.505285
1901.722076,166,8077.261154
953.587789,300,8087.637478
1175.143206,300,8099.175667
1005.771245,300,8110.837108
2438.953399,274,8120.715676
847.664699,300,8132.606636
565.460629,300,8142.914121
2597.617055,142,8149.204684
766.918235,300,8159.600635
814.53955,300,8171.278725
2099.564097,267,8180.94227
3080.534119,237,8190.069304
1922.333997,216,8197.617901
1810.677393,300,8209.173804
2473.279011,296,8219.609038
2923.228364,173,8226.72369
2515.550102,141,8231.617205
2137.286058,84,8235.625861
1214.933201,300,8245.96759
-354.708919,300,8257.536621
2388.154919,226,8266.524519
2331.333544,270,8276.203006
-795.369427,207,8283.736887
999.902819,300,8295.325033
-513.249654,300,8305.681018
2477.259574,216,8314.525518
2101.915524,75,8317.136607
2365.94462,61,8319.497906
2318.604867,211,8326.996356
2298.15255,222,8335.943818
2589.7181,224,8343.712724
3069.159182,247,8353.036718
488.025886,300,8364.549957
